360,0.0001299,3.917e-06,0.0006061,46.6383
361,0.000147044,4.43618e-06,0.000686507,47.1354
362,0.000165012,4.97797e-06,0.000770807,47.6445
363,0.000184628,5.56496e-06,0.000862893,48.1775
364,0.000206716,6.21977e-06,0.00096666,48.7466
365,0.0002321,6.965e-06,0.001086,49.3637
366,0.000261425,7.81966e-06,0.00122395,50.0288
367,0.000294619,8.78843e-06,0.00138015,50.6938
368,0.00033143,9.87235e-06,0.00155338,51.2989
369,0.000371608,1.10725e-05,0.0017424,51.784
370,0.0004149,1.239e-05,0.001946,52.0891
371,0.000461634,1.38358e-05,0.00216573,52.1719
372,0.000514452,1.54609e-05,0.0024142,52.0612
373,0.000576572,1.7326e-05,0.00270681,51.8034
374,0.000651215,1.94921e-05,0.00305895,51.445
375,0.0007416,2.202e-05,0.003486,51.0323
376,0.000849553,2.49448e-05,0.00399669,50.6134
377,0.000971318,2.81987e-05,0.00457306,50.2425
378,0.00110175,3.16882e-05,0.00519048,49.9754
379,0.00123569,3.53198e-05,0.00582434,49.8678
380,0.001368,3.9e-05,0.00645,49.9755
381,0.00149681,4.27084e-05,0.0070585,50.3272
382,0.00163343,4.67171e-05,0.00770346,50.8434
383,0.00179245,5.13717e-05,0.00845417,51.4173
384,0.00198844,5.70176e-05,0.00937992,51.9423
385,0.002236,6.4e-05,0.01055,52.3118
386,0.0025456,7.2576e-05,0.0120141,52.4715
387,0.00291123,8.26491e-05,0.0137441,52.577
388,0.00332276,9.40341e-05,0.0156919,52.8362
389,0.00377006,0.000106546,0.0178098,53.4573
390,0.004243,0.00012,0.02005,54.6482
391,0.00473955,0.000134387,0.022403,56.5551
392,0.00529008,0.000150407,0.0250129,59.0768
393,0.00593302,0.000168932,0.0280624,62.0504
394,0.00670685,0.000190838,0.0317339,65.313
395,0.00765,0.000217,0.03621,68.7015
396,0.00878541,0.000247922,0.0415997,72.0605
397,0.0100739,0.000282629,0.0477176,75.2639
398,0.0114606,0.000319774,0.0543046,78.1932
399,0.0128909,0.000358013,0.0611017,80.7297
400,0.01431,0.000396,0.06785,82.7549
401,0.0156941,0.000433229,0.0744377,84.1987
402,0.0171432,0.000472551,0.081342,85.1848
403,0.0187883,0.000517659,0.0891875,85.8856
404,0.0207602,0.000572245,0.0985986,86.4734
405,0.02319,0.00064,0.1102,87.1204
406,0.0261823,0.000723852,0.124492,87.9527
407,0.0297369,0.000823672,0.141478,88.9109
408,0.0338273,0.000938565,0.161039,89.8896
409,0.0384272,0.00106764,0.183053,90.7831
410,0.04351,0.00121,0.2074,91.486
411,0.0490684,0.00136548,0.234051,91.9247
412,0.0551714,0.00153678,0.263341,92.1543
413,0.0619073,0.00172734,0.295696,92.2618
414,0.0693641,0.00194061,0.33154,92.3343
415,0.07763,0.00218,0.3713,92.4589
416,0.0867948,0.00244985,0.415416,92.6948
417,0.0969545,0.00275801,0.464389,92.99
418,0.108207,0.00311326,0.518734,93.2645
419,0.120649,0.00352433,0.578966,93.4384
420,0.13438,0.004,0.6456,93.4318
421,0.149408,0.00454618,0.718722,93.182
422,0.165392,0.00515749,0.796694,92.6957
423,0.1819,0.00582571,0.877451,91.9968
424,0.198503,0.00654262,0.958925,91.1092
425,0.21477,0.0073,1.03905,90.057
426,0.230334,0.00809119,1.11607,88.8922
427,0.245081,0.00891571,1.18945,87.7794
428,0.258958,0.00977464,1.25898,86.9116
429,0.271915,0.010669,1.32443,86.4816
430,0.2839,0.0116,1.3856,86.6823
431,0.29487,0.0125686,1.44228,87.6415
432,0.304815,0.0135758,1.49441,89.2272
433,0.313736,0.0146228,1.54193,91.2425
434,0.321631,0.0157105,1.5848,93.4903
435,0.3285,0.01684,1.62296,95.7736
436,0.334349,0.0180111,1.65641,97.9278
437,0.339211,0.0192189,1.68533,99.9173
438,0.343127,0.0204571,1.70994,101.739
439,0.346137,0.0217195,1.73044,103.389
440,0.34828,0.023,1.74706,104.865
441,0.349602,0.024295,1.76004,106.174
442,0.35017,0.0256122,1.76972,107.371
443,0.350055,0.0269619,1.77646,108.52
444,0.349327,0.0283544,1.78064,109.687
445,0.34806,0.0298,1.7826,110.936
446,0.346324,0.0313076,1.78272,112.303
447,0.344195,0.0328801,1.78137,113.706
448,0.341748,0.0345187,1.7789,115.032
449,0.339058,0.0362249,1.77569,116.17
450,0.3362,0.038,1.77211,117.008
451,0.333224,0.0398457,1.76838,117.471
452,0.33007,0.0417651,1.76417,117.631
453,0.326655,0.0437616,1.75903,117.601
454,0.322893,0.0458388,1.75249,117.491
455,0.3187,0.048,1.7441,117.41
456,0.314011,0.0502472,1.73347,117.442
457,0.308841,0.0525764,1.7206,117.556
458,0.303225,0.0549819,1.70555,117.695
459,0.2972,0.0574583,1.68839,117.8
460,0.2908,0.06,1.6692,117.812
461,0.284035,0.0626046,1.64791,117.689
462,0.276806,0.065283,1.62391,117.448
463,0.26899,0.068049,1.59644,117.12
464,0.260463,0.0709167,1.56476,116.739
465,0.2511,0.0739,1.5281,116.336
466,0.240841,0.0770124,1.48607,115.942
467,0.229881,0.0802656,1.43966,115.577
468,0.218475,0.0836705,1.39022,115.263
469,0.206882,0.0872383,1.3391,115.017
470,0.19536,0.09098,1.28764,114.861
471,0.18412,0.094906,1.23694,114.808
472,0.17319,0.0990241,1.18714,114.848
473,0.162555,0.103341,1.1381,114.969
474,0.152197,0.107864,1.08973,115.155
475,0.1421,0.1126,1.0419,115.392
476,0.132252,0.11755,0.994544,115.658
477,0.122666,0.122694,0.947793,115.903
478,0.113357,0.128004,0.901825,116.068
